Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
66505,-37.78441,145.331111,53 Lancaster Road,MOOROOLBARK,7120000,house,2010,3,1,2,SC_084,3291,19877,1646,54,0,hospital_113,3252,S_224,2689
93696,-38.02034,145.098876,8 Laura Street,ASPENDALE,6170000,house,2012,4,2,0,SC_003,5545,19862,818,47,0,hospital_001,4019,S_119,1736
27281,-37.576635,144.913383,55 Serenity Way,CRAIGIEBURN,6188000,house,2015,4,2,2,SC_005,665,40221,3851,46,0,hospital_104,8268,S_178,2654
34408,-37.701739,145.012282,24 Smith Street,RESERVOIR,4328000,house,2014,3,1,2,SC_103,4310,20009,728,33,0,hospital_139,2162,S_225,2958
14778,-37.747568,144.910941,76 Richardson Street,ESSENDON,27300000,house,2016,5,3,2,SC_082,1584,20036,881,23,0,hospital_184,781,S_197,341
62253,-37.795998,145.241412,7 Sunhill Avenue,RINGWOOD,4200000,house,2016,5,2,3,SC_032,2169,19879,1938,46,0,hospital_105,1692,S_157,1210
90268,-37.96747589,145.0682373,20 Tenham Grove,CHELTENHAM,4080000,house,2009,4,1,3,SC_003,1872,19866,1204,37,0,hospital_109,791,S_023,1408
34693,-37.7245903,145.0113831,32 Northernhay Street,RESERVOIR,12400000,house,2009,4,1,2,SC_103,1864,20011,869,29,0,hospital_139,1410,S_225,1528
61879,-37.800412,145.251277,386 & 388 Maroondah Highway,RINGWOOD,8000000,house,2015,3,1,0,SC_032,2406,19879,1290,46,0,hospital_164,902,S_157,489
58488,-37.81220627,145.1817322,10 Sunnyside Avenue,NUNAWADING,9750000,house,2008,3,2,2,SC_088,815,19900,1108,39,0,hospital_070,1094,S_202,1390
27749,-37.580563,144.908068,8 Cordyline Grove,CRAIGIEBURN,6225000,house,2010,4,2,2,SC_005,1280,40221,3907,46,0,hospital_104,7883,S_178,2733
32728,-37.73958969,145.0212402,4 Lyonsville Ave,PRESTON,6890000,house,2009,3,1,1,SC_047,808,20012,1827,27,0,hospital_090,2382,S_084,1643
44870,-37.69235,145.1142,3/113 Greenhill Road,GREENSBOROUGH,6849000,house,2016,4,2,2,SC_051,4518,19985,1394,38,0,hospital_075,1601,S_210,1576
17166,-37.702523,144.924543,39 Paget Avenue,GLENROY,6930000,house,2014,4,1,1,SC_010,3550,20032,683,32,0,hospital_184,4748,S_209,390
90141,-37.9671671,145.064633,18 Walker Grove,CHELTENHAM,9520000,house,2011,4,2,2,SC_003,2189,19866,886,37,0,hospital_082,1014,S_023,1155
47970,-37.797614,145.034123,161 Peel Street,KEW,11745000,house,2012,2,1,1,SC_083,2547,19931,2154,21,0,hospital_029,1279,S_039,950
85005,-37.878187,144.986986,50 Byron Street,ELWOOD,11990000,house,2010,3,1,1,SC_015,1192,19955,768,15,0,hospital_009,1696,S_133,783
88008,-37.943668,145.020936,92 David Street,HAMPTON,7605000,house,2013,2,1,2,SC_046,1597,19948,1617,29,0,hospital_036,1518,S_214,221
